route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88254,340,4492_3591,Rossmore,5116,0,4492_7778195_5150006,4492_99
4486_88254,340,4492_3592,Rossmore,5113,0,4492_7778195_5150001,4492_99
4486_88254,341,4492_3593,Rossmore,12598,0,4492_7778195_5150003,4492_100
4486_88254,340,4492_3594,Rossmore,5148,0,4492_7778195_5150002,4492_99
4486_88254,341,4492_3595,Rossmore,12613,0,4492_7778195_5150001,4492_99
4486_88254,340,4492_3596,Rossmore,5180,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3597,Rossmore,5202,0,4492_7778195_5150009,4492_99
4486_88254,341,4492_3598,Rossmore,12571,0,4492_7778195_5150002,4492_99
4486_88254,340,4492_3599,Rossmore,5212,0,4492_7778195_5150005,4492_99
4486_88252,340,4492_36,Shaw street,917,0,4492_7778195_9001005,4492_1
4492_88176,341,4492_360,Sandyford B.D.,14061,0,4492_7778195_1011005,4492_7
4486_88254,342,4492_3600,Rossmore,18395,0,4492_7778195_5150003,4492_99
4486_88254,340,4492_3601,Rossmore,5152,0,4492_7778195_5150003,4492_99
4486_88254,341,4492_3602,Rossmore,12600,0,4492_7778195_5150003,4492_99
4486_88254,340,4492_3603,Rossmore,5118,0,4492_7778195_5150006,4492_99
4486_88254,342,4492_3604,Rossmore,18406,0,4492_7778195_5150001,4492_99
4486_88254,340,4492_3605,Rossmore,5162,0,4492_7778195_5150007,4492_99
4486_88254,341,4492_3606,Rossmore,12615,0,4492_7778195_5150001,4492_99
4486_88254,342,4492_3607,Rossmore,18411,0,4492_7778195_5150002,4492_99
4486_88254,340,4492_3608,Rossmore,5115,0,4492_7778195_5150001,4492_100
4486_88254,341,4492_3609,Rossmore,12573,0,4492_7778195_5150002,4492_99
4492_88176,340,4492_361,Sandyford B.D.,6845,0,4492_7778195_1011001,4492_10
4486_88254,340,4492_3610,Rossmore,5167,0,4492_7778195_5150008,4492_99
4486_88254,342,4492_3611,Rossmore,18397,0,4492_7778195_5150003,4492_99
4486_88254,340,4492_3612,Rossmore,5182,0,4492_7778195_5150004,4492_99
4486_88254,341,4492_3613,Rossmore,12602,0,4492_7778195_5150003,4492_99
4486_88254,342,4492_3614,Rossmore,18408,0,4492_7778195_5150001,4492_99
4486_88254,340,4492_3615,Rossmore,5204,0,4492_7778195_5150009,4492_100
4486_88254,341,4492_3616,Rossmore,12630,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3617,Rossmore,5154,0,4492_7778195_5150003,4492_99
4486_88254,342,4492_3618,Rossmore,18413,0,4492_7778195_5150002,4492_99
4486_88254,340,4492_3619,Rossmore,5164,0,4492_7778195_5150007,4492_99
4492_88176,340,4492_362,Sandyford B.D.,6940,0,4492_7778195_1011008,4492_7
4486_88254,341,4492_3620,Rossmore,12575,0,4492_7778195_5150002,4492_99
4486_88254,342,4492_3621,Rossmore,18399,0,4492_7778195_5150003,4492_99
4486_88254,340,4492_3622,Rossmore,5169,0,4492_7778195_5150008,4492_100
4486_88254,341,4492_3623,Rossmore,12584,0,4492_7778195_5150005,4492_99
4486_88254,340,4492_3624,Rossmore,5184,0,4492_7778195_5150004,4492_99
4486_88254,341,4492_3625,Rossmore,12604,0,4492_7778195_5150003,4492_99
4486_88254,342,4492_3626,Rossmore,18430,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3627,Rossmore,5206,0,4492_7778195_5150009,4492_99
4486_88254,341,4492_3628,Rossmore,12617,0,4492_7778195_5150007,4492_99
4486_88254,342,4492_3629,Rossmore,18415,0,4492_7778195_5150002,4492_99
4492_88176,342,4492_363,Sandyford B.D.,19482,0,4492_7778195_1011003,4492_10
4486_88254,340,4492_3630,Rossmore,5127,0,4492_7778195_5150011,4492_100
4486_88254,341,4492_3631,Rossmore,12632,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3632,Rossmore,5156,0,4492_7778195_5150003,4492_99
4486_88254,341,4492_3633,Rossmore,12646,0,4492_7778195_5150006,4492_99
4486_88254,342,4492_3634,Rossmore,18401,0,4492_7778195_5150003,4492_99
4486_88254,340,4492_3635,Rossmore,5140,0,4492_7778195_5150010,4492_99
4486_88254,341,4492_3636,Rossmore,12577,0,4492_7778195_5150002,4492_99
4486_88254,342,4492_3637,Rossmore,18432,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3638,Rossmore,5171,0,4492_7778195_5150008,4492_100
4486_88254,341,4492_3639,Rossmore,12586,0,4492_7778195_5150005,4492_99
4492_88176,341,4492_364,Sandyford B.D.,14181,0,4492_7778195_1011002,4492_7
4486_88254,340,4492_3640,Rossmore,5186,0,4492_7778195_5150004,4492_99
4486_88254,341,4492_3641,Rossmore,12606,0,4492_7778195_5150003,4492_99
4486_88254,342,4492_3642,Rossmore,18417,0,4492_7778195_5150002,4492_99
4486_88254,340,4492_3643,Rossmore,5200,0,4492_7778195_5150012,4492_99
4486_88254,341,4492_3644,Rossmore,12619,0,4492_7778195_5150007,4492_99
4486_88254,342,4492_3645,Rossmore,18403,0,4492_7778195_5150003,4492_99
4486_88254,340,4492_3646,Rossmore,5208,0,4492_7778195_5150009,4492_100
4486_88254,341,4492_3647,Rossmore,12634,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3648,Rossmore,5129,0,4492_7778195_5150011,4492_99
4486_88254,341,4492_3649,Rossmore,12648,0,4492_7778195_5150006,4492_99
4492_88176,340,4492_365,Sandyford B.D.,7136,0,4492_7778195_1011002,4492_7
4486_88254,342,4492_3650,Rossmore,18434,0,4492_7778195_5150004,4492_99
4486_88254,340,4492_3651,Rossmore,5158,0,4492_7778195_5150003,4492_99
4486_88254,341,4492_3652,Rossmore,12579,0,4492_7778195_5150002,4492_99
4486_88254,342,4492_3653,Rossmore,18446,0,4492_7778195_5150005,4492_99
4486_88254,340,4492_3654,Rossmore,5142,0,4492_7778195_5150010,4492_100
4486_88254,341,4492_3655,Rossmore,12588,0,4492_7778195_5150005,4492_99
4486_88254,340,4492_3656,Rossmore,5173,0,4492_7778195_5150008,4492_99
4486_88254,341,4492_3657,Rossmore,12608,0,4492_7778195_5150003,4492_99
4486_88254,342,4492_3658,Rossmore,18419,0,4492_7778195_5150006,4492_99
4486_88254,340,4492_3659,Rossmore,5191,0,4492_7778195_5150013,4492_99
4492_88176,342,4492_366,Sandyford B.D.,19288,0,4492_7778195_1011005,4492_10
4486_88254,341,4492_3660,Rossmore,12621,0,4492_7778195_5150007,4492_99
4486_88254,340,4492_3661,Rossmore,5188,0,4492_7778195_5150004,4492_99
4486_88254,342,4492_3662,Rossmore,18436,0,4492_7778195_5150004,4492_99
4486_88254,341,4492_3663,Rossmore,12636,0,4492_7778195_5150004,4492_99
